Question;Q1;Q2;Q3;Q4;Q5;Answer
"In the context of LMMSE Estimation with zero-mean vectors, how is the estimator matrix \( \mathbf{W}^{MMSE} \) defined?";"\( \mathbf{W}^{MMSE} = \mathbf{R}_y^{-1} \mathbf{R}_{ys} \)";"\( \mathbf{W}^{MMSE} = \mathbf{R}_s \mathbf{R}_{y}^{-1} \)";"\( \mathbf{W}^{MMSE} = \mathbf{R}_{ys} \mathbf{R}_y \)";"\( \mathbf{W}^{MMSE} = \mathbf{R}_y \mathbf{R}_{ys}^{-1} \)";;1000
"According to the orthogonality principle in LMMSE derivation, which equality holds true at the end of the process?";"\( E[\vec{y}\vec{y}^*] \mathbf{W}^{MMSE} = E[\vec{y}\vec{s}^*] \)";"\( E[\vec{y}\vec{s}^*] \mathbf{W}^{MMSE} = E[\vec{y}\vec{y}^*] \)";"\( E[\vec{s}\vec{s}^*] \mathbf{W}^{MMSE} = E[\vec{y}\vec{s}^*] \)";"\( E[\vec{y}] \mathbf{W}^{MMSE} = E[\vec{s}] \)";;1000
"What is the general expression for the LMMSE Error matrix \( \mathbf{E} \)?";"\( \mathbf{E} = \mathbf{R}_s - \mathbf{R}_{ys}^* \mathbf{R}_y^{-1} \mathbf{R}_{ys} \)";"\( \mathbf{E} = \mathbf{R}_s + \mathbf{R}_{ys}^* \mathbf{R}_y^{-1} \mathbf{R}_{ys} \)";"\( \mathbf{E} = \mathbf{R}_y - \mathbf{R}_{ys}^* \mathbf{R}_s^{-1} \mathbf{R}_{ys} \)";"\( \mathbf{E} = \mathbf{R}_s - \mathbf{R}_{ys} \mathbf{R}_y^{-1} \mathbf{R}_{ys}^* \)";;1000
"Regarding SISO systems and filter theory, what functions are considered the eigenvalues of the filter?";"Complex sinusoids";"Dirac delta functions";"Gaussian pulses";"Sinc functions";;1000
"In I-Q decomposition, what are the specific expressions for the in-phase (\( m_I \)) and quadrature (\( m_Q \)) carriers?";"\( m_I(t) = \sqrt{2}\cos(2\pi f_c t) \) and \( m_Q(t) = -\sqrt{2}\sin(2\pi f_c t) \)";"\( m_I(t) = \cos(2\pi f_c t) \) and \( m_Q(t) = \sin(2\pi f_c t) \)";"\( m_I(t) = \sqrt{2}\sin(2\pi f_c t) \) and \( m_Q(t) = \sqrt{2}\cos(2\pi f_c t) \)";"\( m_I(t) = e^{j2\pi f_c t} \) and \( m_Q(t) = e^{-j2\pi f_c t} \)";;1000
"In the LTI Model for wireless channels, what is the difference between \( c_p(t) \) and \( c_b(t) \)?";"\( c_p(t) \) is the real pass-band channel filter, while \( c_b(t) \) is the mathematical base-band model centered at 0 Hz";"\( c_p(t) \) is the base-band model, while \( c_b(t) \) is the physical pass-band filter";"\( c_p(t) \) is a digital filter, while \( c_b(t) \) is an analog filter";"\( c_p(t) \) represents noise, while \( c_b(t) \) represents the signal";;1000
"Which of the following describes the correct sequence to obtain the baseband equivalent \( c_b(\tau) \) from a passband signal \( c_p(\tau) \)?";"1. Take \( c_p(\tau) \); 2. Shift down in frequency; 3. Filter with \( g_{B/2} \) to cut frequencies outside B";"1. Filter with \( g_{B/2} \); 2. Shift up in frequency; 3. Take \( c_p(\tau) \)";"1. Shift up in frequency; 2. Sample the signal; 3. Take the real part";"1. Take \( c_p(\tau) \); 2. Apply a Dirac delta; 3. Integrate over the bandwidth B";;1000
"In MIMO systems, what is the energy conservation condition for the channel links?";"The sum of the link energies must be equal to the total number of links (\( N_t \cdot N_r \))";"The sum of the link energies must be equal to 1";"The link energy must be constant for all antennas";"The sum of the link energies must be equal to the number of transmit antennas (\( N_t \))";;1000
"Why is the PreCoding block designed to make the output 'as Gaussian as possible'?";"Because the maximum mutual entropy is reached using a Gaussian Power Spectral Density (PSD)";"Because Gaussian signals are easier to amplify in the real world";"To eliminate the need for an I-Q decomposition block";"To ensure the channel remains flat (L=0)";;1000
"In Precoded MIMO, what is the normalization condition for the precoding matrix \( \mathbf{F}[n] \)?";"\( \frac{1}{N} \sum_{n=0}^{N-1} ||\mathbf{F}[n]||^2 = N_t \)";"\( \sum_{n=0}^{N-1} ||\mathbf{F}[n]||^2 = 1 \)";"\( E[||\mathbf{F}[n]||^2] = N_r \)";"\( \frac{1}{N} \sum_{n=0}^{N-1} \mathbf{F}[n] = \mathbf{I}_d \)";;1000
